latitude,longitude,brightness,acq_date,confidence,frp
-34.673,150.368,335.2,2020-01-04,48,157.5
-34.679,150.338,343.5,2020-01-04,89,208.7
-34.686,150.309,322.2,2020-01-04,35,75.7
-34.652,150.393,344.7,2020-01-04,97,234.3
-34.658,150.364,358.5,2020-01-04,100,370.7
-34.665,150.334,349.2,2020-01-04,100,263.4
-34.672,150.302,322.9,2020-01-04,59,80
-34.637,150.389,335.1,2020-01-04,93,162.9
-34.644,150.359,360.4,2020-01-04,100,387.2
-34.651,150.327,338.7,2020-01-04,100,183.5
-34.658,150.296,307.3,2020-01-04,23,29.5
-34.63,150.353,339.7,2020-01-04,100,191.1
-34.637,150.322,323.6,2020-01-04,100,95
-37.465,149.215,314.8,2020-01-04,90,38.9
-37.47,149.194,349.7,2020-01-04,100,178.6
-37.475,149.172,304.3,2020-01-04,59,20.4
-37.453,149.212,342.9,2020-01-04,100,140
-37.457,149.19,335.8,2020-01-04,100,106.5
-37.465,149.209,335.1,2020-01-04,100,104.7
-37.47,149.187,338,2020-01-04,100,117.3
-37.453,149.205,348.3,2020-01-04,100,170.5
-37.458,149.183,317.9,2020-01-04,96,47.5
-35.382,147.994,309.6,2020-01-04,44,23.8
-35.875,147.613,328.6,2020-01-04,100,56.3
-35.879,147.593,320.7,2020-01-04,82,38.9
-35.859,147.63,316,2020-01-04,88,22
-35.864,147.609,329.8,2020-01-04,100,57.4
-35.867,147.589,324.5,2020-01-04,94,46.4
-35.871,147.571,315.5,2020-01-04,50,29.8
-35.852,147.605,356.6,2020-01-04,100,174.1
-35.856,147.586,338.2,2020-01-04,100,90.3
-35.86,147.566,327.9,2020-01-04,86,58.7
-35.864,147.547,310.5,2020-01-04,43,20
-35.84,147.601,403.2,2020-01-04,100,637.8
-35.844,147.581,377.9,2020-01-04,100,333.8
-35.848,147.562,355,2020-01-04,100,166.7
-35.852,147.543,326.5,2020-01-04,84,53.2
-35.829,147.598,333.6,2020-01-04,100,73.4
-35.833,147.579,361.8,2020-01-04,100,207.1
-35.836,147.56,389.4,2020-01-04,100,449.3
-35.841,147.539,357.7,2020-01-04,100,179.6
-35.843,147.618,396.7,2020-01-04,100,549
-35.847,147.598,374.2,2020-01-04,100,301.9
-35.851,147.578,343.1,2020-01-04,100,106.3
-35.855,147.559,325.6,2020-01-04,87,45.5
-35.831,147.614,353.4,2020-01-04,100,159.9
-35.835,147.594,366.6,2020-01-04,100,237.3
-35.839,147.575,379.8,2020-01-04,100,347.3
-35.843,147.556,363.2,2020-01-04,100,213.3
-35.847,147.536,330.2,2020-01-04,90,59
-35.827,147.573,358.6,2020-01-04,100,181.3
-35.831,147.553,396.4,2020-01-04,100,532.1
-35.815,147.57,317,2020-01-04,85,26
-37.23,146.581,318.5,2020-01-04,26,29.4
-37.236,146.549,318.1,2020-01-04,38,27.2
-37.424,148.468,323.9,2020-01-04,69,47.5
-36.993,148.085,319.3,2020-01-04,13,43
-34.792,150.462,322.9,2020-01-04,52,75.7
-34.778,150.456,319.8,2020-01-04,52,62.3
-34.786,150.425,322.9,2020-01-04,0,78.5
-34.765,150.448,319.9,2020-01-04,26,64.4
-34.772,150.418,323.6,2020-01-04,0,83.8
-34.757,150.416,321.8,2020-01-04,0,76.8
-34.735,150.442,322.8,2020-01-04,0,82
-34.772,150.478,312.6,2020-01-04,19,46.1
-34.785,150.418,322.1,2020-01-04,50,92.7
-34.765,150.441,321,2020-01-04,37,83.3
-34.735,150.436,322.9,2020-01-04,0,97.5
-34.722,150.427,331.1,2020-01-04,61,146.2
-34.701,150.451,318.3,2020-01-04,22,86.1
-34.708,150.423,340,2020-01-04,45,210.5
-34.693,150.419,333.5,2020-01-04,12,163.4
-37.421,149.417,325.9,2020-01-04,0,64.9
-37.016,148.184,303.7,2020-01-04,21,15.7
-37.426,149.394,325.3,2020-01-04,0,63.7
-37.103,148.061,315.1,2020-01-04,41,35.7
-37.431,149.371,322.8,2020-01-04,39,59.3
-37.108,148.312,310.4,2020-01-04,33,26.6
-37.436,149.347,340.4,2020-01-04,100,130.3
-37.414,149.39,339.5,2020-01-04,89,125.8
-37.419,149.367,336.7,2020-01-04,100,112.2
-37.424,149.343,320.4,2020-01-04,100,55.4
-37.434,149.421,322.3,2020-01-04,14,49.6
-37.439,149.398,324.8,2020-01-04,0,57.2
-37.416,149.442,318.1,2020-01-04,49,39.8
-37.444,149.375,322.5,2020-01-04,0,52.2
-37.449,149.351,333.6,2020-01-04,44,93
-37.683,149.135,327.2,2020-01-04,49,62.1
-37.417,149.373,338.2,2020-01-04,94,117.6
-37.423,149.35,327.2,2020-01-04,100,75.2
-37.429,149.446,321.7,2020-01-04,71,52
-37.682,149.128,324,2020-01-04,27,46.2
-37.435,149.354,341.5,2020-01-04,82,129.9
-37.425,149.4,325.8,2020-01-04,0,61.6
-37.43,149.377,323.7,2020-01-04,0,56.1
-37.089,149.595,315.5,2020-01-04,10,44.7
-37.673,149.173,349.5,2020-01-04,100,166.6
-37.658,149.119,336.5,2020-01-04,91,88.9
-33.879,150.494,309.5,2020-01-04,23,50.2
-37.64,148.756,317.3,2020-01-04,25,36.7
-37.67,148.818,343.4,2020-01-04,100,127.9
-37.665,148.839,346,2020-01-04,100,139.1
-37.617,148.747,323,2020-01-04,12,50
-37.589,148.759,322.3,2020-01-04,66,51.1
-37.615,149.003,358.8,2020-01-04,100,217.3
-37.603,148.997,314.5,2020-01-04,38,32
-35.819,147.55,312.5,2020-01-04,61,19.7
-37.42,149.424,324.6,2020-01-04,64,56.9
-37.432,149.427,323.2,2020-01-04,81,50
-37.448,149.357,330,2020-01-04,60,75.5
-37.668,149.196,327.9,2020-01-04,70,72.5
-37.678,149.157,341.7,2020-01-04,77,124.9
-37.673,149.18,356.1,2020-01-04,100,212.9
-37.663,149.098,337.3,2020-01-04,82,96.2
-37.621,148.987,350.3,2020-01-04,100,163
-34.779,150.389,316.3,2020-01-04,49,73.6
-37.604,149.003,319.8,2020-01-04,75,41
-34.764,150.385,317,2020-01-04,91,78.9
-34.792,150.387,306.9,2020-01-04,24,45.7
-34.771,150.412,323.1,2020-01-04,14,95.8
-34.778,150.382,311.7,2020-01-04,45,59.3
